viscosity,Particle_density(g cm-3),Fluid_density (g cm-3),Diameter(cm),Shapefactor,Reynoldsnumber,C_d_exp
1.35,4.45,1.224,1.594,0.471,44.8739,5.7
1.35,7.96,1.224,0.531,0.471,8.8479,11.338
1.35,7.96,1.224,1.063,0.471,33.3716,6.376
1.35,7.96,1.224,1.594,0.471,66.9087,5.353
2.088,1.414,1.24,0.28,0.638,0.028,1860.373
2.088,1.667,1.24,0.227,0.602,0.0357,1467.404
2.088,1.658,1.24,0.233,0.761,0.0567,618.747
2.088,1.477,1.24,0.244,0.788,0.0629,330.708
2.088,1.889,1.24,0.218,0.806,0.0933,286.848
2.088,1.467,1.24,0.288,0.866,0.0987,210.303
2.088,1.6,1.24,0.218,0.87,0.103,132.443
2.088,1.763,1.24,0.264,0.708,0.113,280.399
2.088,1.478,1.24,0.353,0.749,0.1146,301.303
2.088,1.895,1.24,0.246,0.677,0.1316,209.153
2.088,1.889,1.24,0.258,0.87,0.1623,158.194
2.088,1.563,1.24,0.377,0.732,0.1634,244.463
2.088,1.473,1.24,0.438,0.727,0.1756,240.806
2.088,1.521,1.24,0.378,0.674,0.1773,181.858
2.088,2.114,1.24,0.271,0.812,0.2203,133.382
2.088,1.957,1.24,0.245,0.857,0.2713,53.208
2.088,1.552,1.24,0.426,0.673,0.2769,118.628
2.088,1.897,1.24,0.289,1,0.2779,76.761
2.088,2.188,1.24,0.268,0.781,0.2872,82.193
2.088,2.137,1.24,0.306,0.88,0.3166,95.348
2.088,1.515,1.24,0.411,0.749,0.3261,67.722
2.088,2.008,1.24,0.276,0.868,0.338,52.462
2.088,2.172,1.24,0.338,0.501,0.3417,115.054
2.088,2.039,1.24,0.314,0.97,0.3597,71.171
2.088,2.086,1.24,0.335,0.784,0.3624,90.114
2.088,2.15,1.24,0.299,1,0.3754,64.102
2.088,1.903,1.24,0.374,0.604,0.3775,90.628
2.088,2.005,1.24,0.306,0.957,0.3843,55.183
2.088,1.676,1.24,0.435,0.679,0.4176,76.859
2.088,2.27,1.24,0.315,0.809,0.42,67.674
2.088,1.975,1.24,0.344,0.917,0.4216,62.655
2.088,1.465,1.24,0.502,0.689,0.4305,58.074
2.088,2.01,1.24,0.302,1,0.4355,41.71
2.088,2.095,1.24,0.342,0.628,0.4446,64.654
2.088,2.119,1.24,0.341,0.903,0.4675,59.421
2.088,1.913,1.24,0.371,0.753,0.4814,55.19
2.088,2.512,1.24,0.315,0.856,0.4883,61.867
2.088,1.399,1.24,0.563,0.691,0.4999,43.408
2.088,2.123,1.24,0.434,0.559,0.5136,102.125
2.088,1.564,1.24,0.491,0.715,0.5266,52.062
2.088,2.446,1.24,0.337,0.93,0.5714,52.579
2.088,2.114,1.24,0.383,0.757,0.5798,54.284
2.088,2.151,1.24,0.409,0.667,0.5901,66.651
2.088,1.624,1.24,0.516,0.723,0.5978,55.523
2.088,2.073,1.24,0.395,0.809,0.5989,53.42
2.088,2.478,1.24,0.353,0.827,0.6365,49.935
2.088,2.26,1.24,0.378,1,0.7368,37.826
2.088,2.305,1.24,0.38,0.866,0.7396,39.633
2.088,2.356,1.24,0.382,0.795,0.7451,41.857
2.088,1.749,1.24,0.498,0.672,0.7474,42.05
2.088,1.729,1.24,0.489,0.787,0.7552,37.574
2.088,1.672,1.24,0.487,0.835,0.7725,31.322
2.088,1.668,1.24,0.51,0.663,0.7876,34.372
2.088,2.078,1.24,0.426,0.797,0.8296,35.037
2.088,2.1,1.24,0.412,0.913,0.8328,32.36
2.088,2.448,1.24,0.388,0.732,0.8404,37.233
2.088,1.804,1.24,0.525,0.686,0.9012,37.669
2.088,2.167,1.24,0.458,0.818,1.0246,31.596
2.088,1.701,1.24,0.527,0.68,1.0386,23.364
2.088,2.233,1.24,0.445,0.843,1.0916,27.342
2.088,2.818,1.24,0.374,0.983,1.1326,23.863
2.088,2.167,1.24,0.451,0.855,1.1388,24.402
2.088,1.933,1.24,0.526,0.829,1.2137,25.507
2.088,1.945,1.24,0.546,0.684,1.218,28.913
2.088,2,1.24,0.528,0.592,1.2878,25.143
2.088,2.367,1.24,0.475,0.776,1.3031,26.502
2.088,2.167,1.24,0.497,0.847,1.3261,24.052
2.088,2.139,1.24,0.502,0.621,1.3743,22.479
2.088,2.073,1.24,0.561,0.61,1.4112,27.573
2.088,2.3,1.24,0.466,0.937,1.4801,18.248
2.088,2.049,1.24,0.557,0.601,1.4815,23.688
2.088,2.4,1.24,0.488,0.876,1.6197,19.117
2.088,1.87,1.24,0.581,0.744,1.6321,17.325
2.088,2.694,1.24,0.473,0.797,1.6622,20.668
2.088,2.167,1.24,0.556,0.757,1.6851,20.896
2.088,2.626,1.24,0.475,0.775,1.7097,18.849
2.088,2.4,1.24,0.526,0.812,1.8982,17.446
2.088,2.2,1.24,0.607,0.746,2.1035,18.099
2.088,1.931,1.24,0.664,0.671,2.252,14.887
2.088,1.954,1.24,0.701,0.736,2.5307,14.348
2.088,2.164,1.24,0.725,0.58,2.6143,19.153
2.088,2.185,1.24,0.694,0.761,2.772,15.338
2.088,2.367,1.24,0.624,0.796,2.7915,13.071
2.088,2.367,1.24,0.634,0.851,2.8371,13.284
2.088,3.033,1.24,0.553,0.746,2.9508,12.913
2.088,2.295,1.24,0.657,0.845,3.1093,11.53
2.088,1.5,1.24,1.018,0.514,3.3781,9.081
2.088,2.026,1.24,0.764,0.677,3.4178,11.189
2.088,2.467,1.24,0.669,0.862,3.5702,10.701
2.088,2.022,1.24,0.818,0.556,3.6606,11.925
2.088,1.937,1.24,0.822,0.707,3.6769,10.68
2.088,2.6,1.24,0.659,0.78,3.7072,10.515
2.088,2.201,1.24,0.808,0.691,4.3145,10.146
2.088,2.098,1.24,0.823,0.717,4.3941,9.224
2.088,2.567,1.24,0.705,0.827,4.4739,8.621
2.088,2.4,1.24,0.757,0.893,4.7003,8.489
0.1499,1.304,1.17,0.236,0.822,4.7285,5.297
2.088,2.567,1.24,0.773,0.83,4.9067,9.455
0.1499,1.414,1.17,0.28,0.638,5.3906,12.508
2.088,2.037,1.24,0.956,0.679,5.5213,8.525
2.088,1.815,1.24,1.036,0.748,5.6825,7.399
2.088,2.033,1.24,0.971,0.782,6.1651,7.116
0.1499,1.658,1.17,0.233,0.761,6.5433,9.817
0.1499,1.477,1.17,0.244,0.788,6.6714,6.825
2.088,2.31,1.24,1.036,0.79,8.3689,6.315
0.1499,1.6,1.17,0.218,0.87,8.3925,4.305
0.1499,1.895,1.17,0.246,0.677,8.4684,10.19
0.1499,1.467,1.17,0.288,0.866,8.5262,6.598
0.1499,1.478,1.17,0.353,0.749,12.0562,6.31
0.1499,1.563,1.17,0.377,0.732,13.9293,7.387
0.1499,1.889,1.17,0.258,0.87,14.8909,3.792
0.1499,1.521,1.17,0.378,0.674,15.2494,5.524
0.1499,1.957,1.17,0.245,0.857,16.4676,2.891
0.1499,2.114,1.17,0.271,0.812,17.3665,4.235
0.1499,2.008,1.17,0.276,0.868,19.0019,3.306
0.1499,1.515,1.17,0.411,0.749,19.5276,4.258
0.1499,2.082,1.17,0.272,1,20.2657,3.05
0.1499,1.473,1.17,0.438,0.727,21.0832,3.89
0.1499,1.897,1.17,0.289,1,21.315,2.631
0.1499,2.172,1.17,0.338,0.501,21.6839,5.614
0.1499,2.137,1.17,0.306,0.88,22.2856,3.79
0.1499,1.552,1.17,0.426,0.673,22.5716,3.942
0.1499,1.903,1.17,0.374,0.604,23.9586,4.534
0.1499,2.039,1.17,0.314,0.97,26.6708,2.571
0.1499,2.086,1.17,0.335,0.784,26.938,3.226
0.1499,2.005,1.17,0.306,0.957,27.4435,2.156
0.1499,2.27,1.17,0.315,0.809,27.8924,2.997
0.1499,2.095,1.17,0.342,0.628,28.1824,3.18
0.1499,2.15,1.17,0.299,1,28.2578,2.227
0.1499,1.676,1.17,0.435,0.679,28.5721,3.456
0.1499,2.01,1.17,0.302,1,29.6608,1.791
0.1499,1.975,1.17,0.344,0.917,30.8511,2.338
0.1499,1.913,1.17,0.371,0.753,31.7026,2.561
0.1499,2.119,1.17,0.341,0.903,32.7948,2.382
0.1499,2.512,1.17,0.315,0.856,34.3013,2.422
0.1499,2.073,1.17,0.395,0.809,37.3904,2.713
0.1499,1.399,1.17,0.563,0.691,37.4894,1.968
0.1499,2.114,1.17,0.383,0.757,37.5712,2.551
0.1499,2.446,1.17,0.337,0.93,38.2273,2.276
0.1499,1.465,1.17,0.502,0.689,39.0113,1.659
0.1499,1.624,1.17,0.516,0.723,40.8858,2.54
0.1499,2.478,1.17,0.353,0.827,41.299,2.295
0.1499,2.123,1.17,0.434,0.559,42.4676,2.946
0.1499,1.749,1.17,0.498,0.672,43.0921,2.615
0.1499,1.672,1.17,0.487,0.835,43.6919,2.062
0.1499,2.356,1.17,0.382,0.795,44.1316,2.32
0.1499,1.668,1.17,0.51,0.663,45.7924,2.144
0.1499,2.151,1.17,0.409,0.667,45.8426,2.173
0.1499,1.729,1.17,0.489,0.787,46.0911,2.094
0.1499,2.305,1.17,0.38,0.866,46.2387,1.977
0.1499,2.26,1.17,0.378,1,46.7192,1.839
0.1499,2.078,1.17,0.426,0.797,49.1387,1.976
0.1499,2.448,1.17,0.388,0.732,49.7798,2.056
0.1499,1.564,1.17,0.491,0.715,50.3777,1.248
0.1499,2.1,1.17,0.412,0.913,52.8519,1.587
0.1499,1.804,1.17,0.525,0.686,53.0709,2.221
0.1499,1.701,1.17,0.527,0.68,53.1865,1.862
0.1499,2.167,1.17,0.458,0.818,58.7284,1.89
0.1499,2.139,1.17,0.502,0.621,58.8811,2.412
0.1499,2.167,1.17,0.451,0.855,60.002,1.728
0.1499,2,1.17,0.528,0.592,60.1667,2.295
0.0172,0.927,0.81,0.321,0.794,62.2832,3.498
0.1499,2.233,1.17,0.445,0.843,63.4868,1.582
0.1499,2.818,1.17,0.374,0.983,63.4896,1.454
0.1499,1.945,1.17,0.546,0.684,66.0675,1.97
0.1499,2.167,1.17,0.497,0.847,67.6858,1.815
0.1499,1.933,1.17,0.526,0.829,68.2599,1.619
0.1499,2.367,1.17,0.475,0.776,71.5999,1.706
0.1499,1.87,1.17,0.581,0.744,71.7647,1.814
0.1499,2.049,1.17,0.557,0.601,72.2874,1.974
0.1499,2.626,1.17,0.475,0.775,75.3323,1.869
0.1499,2.3,1.17,0.466,0.937,77.7065,1.291
0.0172,0.843,0.81,0.389,0.679,78.898,1.025
0.0172,0.866,0.81,0.404,0.811,79.3307,2.012
0.1499,2.694,1.17,0.473,0.797,79.5731,1.732
0.1499,2.073,1.17,0.561,0.61,80.0147,1.698
0.1499,2.167,1.17,0.556,0.757,83.77,1.662
0.1499,2.4,1.17,0.488,0.876,86.3359,1.306
0.1499,2.4,1.17,0.526,0.812,91.0717,1.471
0.1499,1.931,1.17,0.664,0.671,92.5132,1.771
0.1499,2.2,1.17,0.607,0.746,93.4437,1.799
0.0102,1.245,1,0.224,0.689,97.3956,3.632
0.1499,2.164,1.17,0.725,0.58,99.1425,2.619
0.0172,0.892,0.81,0.325,0.773,100.3243,0.971
0.1499,2.022,1.17,0.818,0.556,111.4378,2.559
0.0172,0.865,0.81,0.391,0.831,111.9725,0.893
0.1499,1.954,1.17,0.701,0.736,112.1487,1.463
0.0172,0.937,0.81,0.306,0.71,112.203,1.015
0.1499,2.367,1.17,0.634,0.851,119.9348,1.445
0.1499,2.026,1.17,0.764,0.677,125.7884,1.642
0.1499,2.367,1.17,0.624,0.796,126.6897,1.233
0.1499,3.033,1.17,0.553,0.746,129.3117,1.281
0.1499,2.295,1.17,0.657,0.845,131.1122,1.265
0.1499,1.5,1.17,1.018,0.514,138.0511,1.239
0.1499,1.937,1.17,0.822,0.707,139.5015,1.489
0.1499,2.467,1.17,0.669,0.862,142.8646,1.293
0.1499,2.201,1.17,0.808,0.691,150.9837,1.625
0.1499,2.6,1.17,0.659,0.78,151.2992,1.216
