phi,Re,"Cd,meas"
0.559,42.4676,2.946
0.672,43.0921,2.615
0.835,43.6919,2.062
0.795,44.1316,2.32
0.663,45.7924,2.144
0.667,45.8426,2.173
0.787,46.0911,2.094
0.866,46.2387,1.977
1,46.7192,1.839
0.797,49.1387,1.976
0.732,49.7798,2.056
0.715,50.3777,1.248
0.913,52.8519,1.587
0.686,53.0709,2.221
0.68,53.1865,1.862
0.818,58.7284,1.89
0.621,58.8811,2.412
0.855,60.002,1.728
0.592,60.1667,2.295
0.794,62.2832,3.498
0.843,63.4868,1.582
0.983,63.4896,1.454
0.684,66.0675,1.97
0.847,67.6858,1.815
0.829,68.2599,1.619
0.776,71.5999,1.706
0.744,71.7647,1.814
0.601,72.2874,1.974
0.775,75.3323,1.869
0.937,77.7065,1.291
0.679,78.898,1.025
0.811,79.3307,2.012
0.797,79.5731,1.732
0.61,80.0147,1.698
0.757,83.77,1.662
0.876,86.3359,1.306
0.812,91.0717,1.471
0.671,92.5132,1.771
0.746,93.4437,1.799
0.689,97.3956,3.632
0.58,99.1425,2.619
0.773,100.3243,0.971
0.556,111.4378,2.559
0.831,111.9725,0.893
0.736,112.1487,1.463
0.71,112.203,1.015
0.851,119.9348,1.445
0.677,125.7884,1.642
0.796,126.6897,1.233
0.746,129.3117,1.281
0.845,131.1122,1.265
0.514,138.0511,1.239
0.707,139.5015,1.489
0.862,142.8646,1.293
0.691,150.9837,1.625
0.78,151.2992,1.216
0.86,152.1923,0.864
0.788,166.6642,1.713
0.717,166.7629,1.265
0.748,180.4959,1.497
0.83,181.6632,1.33
0.679,193.8273,1.374
0.692,195.1145,1.768
0.827,200.4553,0.828
0.822,201.5013,1.24
0.782,206.4711,1.26
0.602,220.0313,2.024
0.855,234.3774,1.333
0.69,251.4251,1.693
0.821,277.1546,1.106
0.87,281.8702,0.986
0.79,296.1587,0.983
0.761,298.7096,1.175
0.797,305.6537,0.777
0.788,314.4844,0.886
0.672,315.4683,1.278
0.806,320.0944,1.125
0.638,334.9524,1.021
0.708,353.4795,1.406
0.708,369.1451,0.861
0.677,370.2125,1.216
0.862,380.4234,0.921
0.857,405.0441,0.851
0.741,406.2173,1.001
0.87,413.1665,1.125
0.866,437.244,0.732
0.8,459.0094,0.988
0.727,461.9249,1.067
0.501,462.8955,2.66
0.812,474.3009,1.237
0.857,475.3393,0.779
0.749,484.3167,1.126
0.868,503.5557,1.046
0.761,517.0524,1.102
0.781,544.2822,0.968
0.88,550.497,1.349
